Team_A,Team_B,Runs_A,Runs_B,Earned_Runs_A,Earned_Runs_B,Innings_A_Batting,Innings_A_Defense,Innings_B_Batting,Innings_B_Defense
ATSA FEM,TALLERES,0,8,0,8,4,3,3,4
ESTUDIANTES,ORO VERDE,4,3,3,3,5,5,5,5
ATSA FEM,PATRONATO,1,6,1,6,5,4,4,5
DON BOSCO,ORO VERDE,4,2,4,2,5,5,5,5
ATSA FEM,ATSA MIXTO,6,7,6,7,4,3,3,4
ATSA MIXTO,TALLERES,5,2,5,2,6,6,6,6
DON BOSCO,ESTUDIANTES,16,1,16,1,3,3,3,3
ATSA MIXTO,ORO VERDE,2,3,2,3,8,7,7,8
PATRONATO,ESTUDIANTES,5,4,1,0,6,6,6,6
TALLERES,ORO VERDE,8,1,8,1,5,5,5,5
DON BOSCO,PATRONATO,4,3,1,0,7,7,7,7
ATSA FEM,ESTUDIANTES,2,10,2,8,4,3.2,3.2,4
DON BOSCO,ATSA FEM,10,0,9,0,3,3,3,3
